Model=oddHalf, matchID=1691242, middleHostScore=1, middleCustomScore=1, middleScoreOdd=0.25, middleBigOdd=3.25, middleScoreOddOfVictory=0.73, middleScoreOddOfDefeat=1.17, middleBigOddOfVictory=0.96, middleBigOddOfDefeat=0.90, estValue=0, estProb=0.62
Model=ballHalf, matchID=1738108, middleHostScore=3, middleCustomScore=0, middleScoreOdd=-0.25, middleBigOdd=4.50, middleScoreOddOfVictory=0.94, middleScoreOddOfDefeat=0.90, middleBigOddOfVictory=1.00, middleBigOddOfDefeat=0.82, estValue=1, estProb=0.53
Model=oddHalf, matchID=1738108, middleHostScore=3, middleCustomScore=0, middleScoreOdd=-0.25, middleBigOdd=4.50, middleScoreOddOfVictory=0.94, middleScoreOddOfDefeat=0.90, middleBigOddOfVictory=1.00, middleBigOddOfDefeat=0.82, estValue=1, estProb=0.52
Model=ballHalf, matchID=1738108, middleHostScore=3, middleCustomScore=0, middleScoreOdd=-0.25, middleBigOdd=4.50, middleScoreOddOfVictory=0.94, middleScoreOddOfDefeat=0.90, middleBigOddOfVictory=1.00, middleBigOddOfDefeat=0.82, estValue=1, estProb=0.51
Model=ballHalf, matchID=1691242, middleHostScore=1, middleCustomScore=1, middleScoreOdd=0.25, middleBigOdd=3.25, middleScoreOddOfVictory=0.73, middleScoreOddOfDefeat=1.17, middleBigOddOfVictory=0.99, middleBigOddOfDefeat=0.87, estValue=0, estProb=0.68
Model=oddHalf, matchID=1738108, middleHostScore=3, middleCustomScore=0, middleScoreOdd=-0.25, middleBigOdd=4.50, middleScoreOddOfVictory=0.94, middleScoreOddOfDefeat=0.90, middleBigOddOfVictory=1.00, middleBigOddOfDefeat=0.82, estValue=1, estProb=0.51
Model=oddHalf, matchID=1691242, middleHostScore=1, middleCustomScore=1, middleScoreOdd=0.25, middleBigOdd=3.25, middleScoreOddOfVictory=0.73, middleScoreOddOfDefeat=1.17, middleBigOddOfVictory=0.99, middleBigOddOfDefeat=0.87, estValue=0, estProb=0.62
Model=ballHalf, matchID=1691242, middleHostScore=1, middleCustomScore=1, middleScoreOdd=0.25, middleBigOdd=3.25, middleScoreOddOfVictory=0.75, middleScoreOddOfDefeat=1.14, middleBigOddOfVictory=0.99, middleBigOddOfDefeat=0.87, estValue=0, estProb=0.68
Model=oddHalf, matchID=1738108, middleHostScore=3, middleCustomScore=0, middleScoreOdd=-0.25, middleBigOdd=4.50, middleScoreOddOfVictory=0.94, middleScoreOddOfDefeat=0.90, middleBigOddOfVictory=1.00, middleBigOddOfDefeat=0.82, estValue=0, estProb=0.50
Model=oddHalf, matchID=1691242, middleHostScore=1, middleCustomScore=1, middleScoreOdd=0.25, middleBigOdd=3.25, middleScoreOddOfVictory=0.75, middleScoreOddOfDefeat=1.14, middleBigOddOfVictory=0.99, middleBigOddOfDefeat=0.87, estValue=0, estProb=0.62
